Grapheme	FREQUENCY	SCA	CODEPOINTS	EXAMPLES	IPA
^	307369			N;NN;N;aN;am	NULL
$	308640			N;NN;N;aN;am	NULL
-	2			-;-	NULL
^yz$	0	I S	U+005E U+0079 U+007A U+0024		i z
^yz~$	1	I S	U+005E U+0079 U+007A U+007E U+0024	yz~	i z
^sw*$	1	S Y	U+005E U+0073 U+0077 U+002A U+0024	sw*	s ũ
^CZ~$	4	T S	U+005E U+0043 U+005A U+007E U+0024	CZ~;CZ~;CZ~;CZ~	tʃ ʒ
^wr$	0	Y R	U+005E U+0077 U+0072 U+0024		u r
^Xl~w$	1	G L Y	U+005E U+0058 U+006C U+007E U+0077 U+0024	Xl~w	χ l u
^hyX~$	1	H I G	U+005E U+0068 U+0079 U+0058 U+007E U+0024	hyX~	h i χ
^hw*~a*$	1	H W E	U+005E U+0068 U+0077 U+002A U+007E U+0061 U+002A U+0024	hw*~a*	h w ɐ̃
^qwv~$	1	K Y B	U+005E U+0071 U+0077 U+0076 U+007E U+0024	qwv~	q u v
^Nw*~e*$	1	N W E	U+005E U+004E U+0077 U+002A U+007E U+0065 U+002A U+0024	Nw*~e*	ŋ w ẽ
^ocz$	0	U C S	U+005E U+006F U+0063 U+007A U+0024		o ts z
^w*oN$	8	W U N	U+005E U+0077 U+002A U+006F U+004E U+0024	w*oN;w*oN;w*oN;w*oN;w*oN	w õ ŋ
^ww~a$	1	Y W A	U+005E U+0077 U+0077 U+007E U+0061 U+0024	ww~a	u w a
^i8iw*$	1	I D I W	U+005E U+0069 U+0038 U+0069 U+0077 U+002A U+0024	i8iw*	i θ ĩ w
^yww~a$	1	J Y W A	U+005E U+0079 U+0077 U+0077 U+007E U+0061 U+0024	yww~a	j u w a
"^lw""v~lw$"	1	L B L W	U+005E U+006C U+0077 U+0022 U+0076 U+007E U+006C U+0077 U+0024	"lw""v~lw"	l’ʷ v l w
^Ngw*$a*$	1	N K W E	U+005E U+004E U+0067 U+0077 U+002A U+0024 U+0061 U+002A U+0024	Ngw*$a*	ŋ g w ɐ̃
^sethw*$a*$	1	S E T E	U+005E U+0073 U+0065 U+0074 U+0068 U+0077 U+002A U+0024 U+0061 U+002A U+0024	sethw*$a*	s e tʷʰ ɐ̃
^weyy~e$	1	W E J E	U+005E U+0077 U+0065 U+0079 U+0079 U+007E U+0065 U+0024	weyy~e	w e j e
^Sh~eS~oNg~a$	1	S E S U K E	U+005E U+0053 U+0068 U+007E U+0065 U+0053 U+007E U+006F U+004E U+0067 U+007E U+0061 U+0024	Sh~eS~oNg~a	ʃʰ e ʃ o ⁿg ɐ
!	690	!	U+0021	!a;!e;Si!kei;n!a;m!a	ǃ
"!"""	42	!	U+0021 U+0022	"!""ua*;!""amkoe;!""au;N!""ama;N!""ala"	ǃ’
"!""~"	0	!	U+0021 U+0022 U+007E		ǃ’
!7~	21	!	U+0021 U+0037 U+007E	!7~oe;!7~u;!7~au;!7~Eu;!7~3u	ǃˀ
!N~	9	!	U+0021 U+004E U+007E	!N~e7e;!N~a;!N~u7ubu;!N~o;!N~ah	ǃⁿ
!S~	1	!	U+0021 U+0053 U+007E	e!S~o	ǂ
!g~	12	!	U+0021 U+0067 U+007E	!g~hoe;!g~E;!g~a7a;!g~E7E;!g~3u	ǂ
!h~	23	!	U+0021 U+0068 U+007E	!h~iki;!h~i;!h~oi*;!h~oe;!h~a7ano	ǃʰ
!k~	2	!	U+0021 U+006B U+007E	!k~Enu;!k~EhN	ǂ
!n~	4	!	U+0021 U+006E U+007E	!n~e7e;!n~o;!n~au;!n~um	ǃⁿ
!t~	1	!	U+0021 U+0074 U+007E	E!t~a	ǀ
!w~	8	!	U+0021 U+0077 U+007E	!w~i;!w~i;!w~e;!w~anate;!w~ebe	ǃʷ
!x~	12	!	U+0021 U+0078 U+007E	!x~ai;!x~au;!x~o;!x~ei;!x~ei	ǂ
N!~	8	!	U+004E U+0021 U+007E	N!~usi;N!~ui*si;N!~uTu;N!~usi;N!~one	ⁿǂ
g!~	8	!	U+0067 U+0021 U+007E	g!~ui;g!~ae;g!~abi;g!~ae;g!~ui	ǂ
m!~	1	!	U+006D U+0021 U+007E	m!~oe	ⁿǂ
n!~	39	!	U+006E U+0021 U+007E	n!~u*;n!~um;n!~um;n!~um;n!~u*	ⁿǃ
q!~	3	!	U+0071 U+0021 U+007E	q!~i;q!~oesi;q!~u	ǂ
"!""w~"	2	!	U+0021 U+0022 U+0077 U+007E	"!""w~e;!""w~e*"	ǃ’ʷ
E	15781	A	U+0045	mEk;mE;mE;imE;mE	a
E*	494	A	U+0045 U+002A	mEwE*;mE*;mE*;mE*;mE*	ã
f	7009	B	U+0066	mfo;mafa;didif;dedef;nafea	f
v	5977	B	U+0076	var win;hav;vo;va;va	v
"f"""	2	B	U+0066 U+0022	"bulaf""ka7;maf""3"	fʼ
5v~	2	B	U+0035 U+0076 U+007E	fy~i5v~3;5v~u*	ⁿv
fh~	8	B	U+0066 U+0068 U+007E	fh~ig;fh~asan kun wa;fh~u zE Ton;fh~ulan bara;yafh~	fʰ
fw~	119	B	U+0066 U+0077 U+007E	ufw~e;fw~e;fw~efw~e;fw~efw~e;fw~Eyo	fʷ
fy~	38	B	U+0066 U+0079 U+007E	fy~E;fy~a;fy~tu*;fy~o;fy~e	fʲ
hv~	4	B	U+0068 U+0076 U+007E	hv~ile;hv~olo;hv~ar3;hv~E	ʰv
nv~	19	B	U+006E U+0076 U+007E	nv~;nv~;nv~;nv~;nv~o	ⁿv
pf~	33	B	U+0070 U+0066 U+007E	pf~u;pf~oy;pf~oy;pf~uha;pf~upa	pf
v7~	1	B	U+0076 U+0037 U+007E	v7~luluCen	vˀ
vh~	8	B	U+0076 U+0068 U+007E	vh~o*;ninehovh~ema;vh~e7;vh~iya;jivh~a	vʰ
vx~	1	B	U+0076 U+0078 U+007E	nacevx~tan	vˠ
vy~	34	B	U+0076 U+0079 U+007E	tvy~i;vy~3kti;vy~akti;vy~3kti;CaLavy~Ek	vʲ
T	3184	C	U+0054	Tom;Tewe;Te;a5Te;ihy~eTi	c
c	6656	C	U+0063	ci;nec;necaya;necayen;u*c	ts
"T"""	84	C	U+0054 U+0022	"T""ihal;T""3L;T""3L;T""eLq""ey;T""3L"	cʼ
5T~	11	C	U+0035 U+0054 U+007E	5T~ili;pi5T~oaN;mi5T~oaN;oNo5T~e;5T~u	ⁿc
NT~	1	C	U+004E U+0054 U+007E	kuNT~i	ⁿc
Th~	173	C	U+0054 U+0068 U+007E	Th~an;Th~an;Th~i;Th~i;Th~i	cʰ
Tj~	2	C	U+0054 U+006A U+007E	Tj~anu;Tj~3l3m	cʲ
Tw~	17	C	U+0054 U+0077 U+007E	naTw~o;Tw~e;Tw~ayizi;pliTw~ai;Tw~ara	cʷ
Ty~	11	C	U+0054 U+0079 U+007E	mTy~e;Ty~amal wi7;Ty~Eby~E;Ty~oN;Ty~ar	cʲ
c7~	15	C	U+0063 U+0037 U+007E	noc7~ih;nuc7~k7~e;hiroc7~orih;c7~a*;c7~o*	tsˀ
ch~	392	C	U+0063 U+0068 U+007E	iny~ech~;ch~i;ch~e raN;ch~3;many~ch~	tsʰ
cw~	25	C	U+0063 U+0077 U+007E	yEcw~E;icw~u;ucw~u;acw~3;cw~ei	tsʷ
cx~	12	C	U+0063 U+0078 U+007E	cx~a7;wecx~uk;dicx~iri;dincx~iri;cx~i7i	tsˠ
dz~	10	C	U+0064 U+007A U+007E	"asdz~ani;dz~a;sq""3dz~u7;dz~3dis;pidz~es"	dz
nT~	69	C	U+006E U+0054 U+007E	TiNg~eTurunT~ia;nT~3;nT~uo;kunT~iri;inT~eN	ⁿc
tc~	1	C	U+0074 U+0063 U+007E	tc~a	ts
ts~	1	C	U+0074 U+0073 U+007E	ts~ix	ts
"T""y~"	2	C	U+0054 U+0022 U+0079 U+007E	"T""y~an;T""y~an"	c’ʲ
"c""w~"	12	C	U+0063 U+0022 U+0077 U+007E	"c""w~ari;c""w~a;c""w~a;c""w~a;c""w~a"	ts’ʷ
cyw~	1	C	U+0063 U+0079 U+0077 U+007E	cyw~o	tsʲʷ
8	1614	D	U+0038	8i;8ami;83;8aku7;a8ak	θ
"8"""	37	D	U+0038 U+0022	"n3t8""37;s8""uqi7;s8""oqw~o;8""i8""38""3m"";8""i8""38""3m"""	θ’
87~	2	D	U+0038 U+0037 U+007E	ni87~i*w*a*;wa87~	θˀ
8X~	6	D	U+0038 U+0058 U+007E	Xa8X~m;Xa8X~ma;Xa8X~im;Xa8X~m;X8X~m	θˠ
8h~	11	D	U+0038 U+0068 U+007E	8h~u;8h~u;8h~u;ka8h~a;ka8h~oN	θʰ
8y~	8	D	U+0038 U+0079 U+007E	i8y~e;8y~o;u8y~ama;Si8y~aw;8y~euNk~au	θʲ
n8~	26	D	U+006E U+0038 U+007E	wen8~;n8~u;an8~ropos;smun8~E;Sun8~E	ⁿθ
3	27343	E	U+0033	m3;m3;m3;m3;m3	ə
a	186041	E	U+0061	aN;am;ka;na;a	ɐ
e	60823	E	U+0065	kere;kere;ke;kyedi;tire	e
3*	495	E	U+0033 U+002A	h3*m;z3*;z3*;3*;m3*	ə̃
a*	2864	E	U+0061 U+002A	na*;mi*na*;ma*i*;a*;ma*i*	ɐ̃
e*	963	E	U+0065 U+002A	me*;me*;me*;me*;me*	ẽ
a*7~	2	E	U+0061 U+002A U+0037 U+007E	ha*7~a*;ya*7~a*	ɐ̃ˀ
X	2567	G	U+0058	eX;iX;iX;egXom;Xna	χ
x	7335	G	U+0078	xono;mi oxe;axe;xEn;xEn	x
"X"""	5	G	U+0058 U+0022	"yaX""yaX""tu;yaX""yaX""tu;X""abX""i;X""abX""i;bX""3"	χʼ
"x"""	10	G	U+0078 U+0022	"!x""o*si;!x""a;kx""ac""a;kx""ai*;nax""u*"	xʼ
5X~	1	G	U+0035 U+0058 U+007E	i5X~iq	ⁿχ
7x~	2	G	U+0037 U+0078 U+007E	no7x~naq;7x~an	ˀx
XX~	11	G	U+0058 U+0058 U+007E	"XX~abX~i7;XX~ady~;XX~aC""an;XX~aC""lan;XX~ub"	χː
Xw~	114	G	U+0058 U+0077 U+007E	s3Xw~a;w3Xw~a;yXw~su;siXw~;yuXw~e	χʷ
Xy~	6	G	U+0058 U+0079 U+007E	aXy~a;aXy~a;Xy~exw~;Xy~um;Xy~an	χʲ
hX~	1	G	U+0068 U+0058 U+007E	a*hX~a	ʰχ
hx~	4	G	U+0068 U+0078 U+007E	hx~ak;hx~op;hx~aeSika;hx~aeSika	ʰx
x7~	4	G	U+0078 U+0037 U+007E	tleix7~;scax7~;sdax7~;x7~an	xˀ
xh~	18	G	U+0078 U+0068 U+007E	ixh~unnut;ho xh~iyo;nxh~ipami;xh~i;xh~in	xʰ
xw~	466	G	U+0078 U+0077 U+007E	xw~i;xw~aNa;xuxuxw~x;uxw~e;uxw~e	xʷ
xy~	49	G	U+0078 U+0079 U+007E	waxy~a;t7~oixy~u;nixy~u;xy~a;xy~a	xʲ
"X""w~"	1	G	U+0058 U+0022 U+0077 U+007E	"c""oX""w~kses"	χ’ʷ
"x""w~"	1	G	U+0078 U+0022 U+0077 U+007E	"x""w~et"	x’ʷ
"xw""~"	1	G	U+0078 U+0077 U+0022 U+007E	"xw""~el"	x’ʷ
7	15153	H	U+0037	a7a;a7a;a7a;a7a;a7a	ʔ
h	20771	H	U+0068	mihi;mihi;hi5;behya;heni	h
"7"""	2	H	U+0037 U+0022	"aay7"";s7""kw~ansaN"	ʔ’
"h"""	13	H	U+0068 U+0022	"h""e;ah""3n;guh""o;h""ati;h""lgw~m"	h’
7h~	2	H	U+0037 U+0068 U+007E	!7h~ui;i7h~o	ʔʰ
7w~	23	H	U+0037 U+0077 U+007E	nu7w~i*;a7w~;xucu7w~un;7w~apina;u7w~a	ʔʷ
7y~	36	H	U+0037 U+0079 U+007E	7y~e;7y~a;7y~a;7y~a;lu7y~	ʔʲ
N7~	16	H	U+004E U+0037 U+007E	mioN7~;zaN7~;SuN7~;th~eN7~;tuN7~al	ⁿʔ
hw~	146	H	U+0068 U+0077 U+007E	nu*hw~a*;hw~o;hw~ehw~e;hw~ehw~e;hw~etu	hʷ
hy~	101	H	U+0068 U+0079 U+007E	ihy~eji;ihy~eTi;hy~e;ihy~ero;ihy~ero	hʲ
"7""w~"	1	H	U+0037 U+0022 U+0077 U+007E	"s7""w~ip"	ʔ’ʷ
"h""w~"	1	H	U+0068 U+0022 U+0077 U+007E	"sci7ih""w~"	h’ʷ
i	121367	I	U+0069	ni;tita;tir;ti;kyedi	i
i*	2184	I	U+0069 U+002A	mi*;mi*yo;mi*5o;i*;mi*	ĩ
y	24543	J	U+0079	kyedi;miya;behya;miy;iyo	j
"y"""	100	J	U+0079 U+0022	"siy""a;siy""a;siy""a;n""iy"";Sey"""	j’
y7~	36	J	U+0079 U+0037 U+007E	qw~uy7~e;Nay7~;sqmay7~;yay7~o;tEy7~	jˀ
G	177	K	U+0047	Gon;Gam;Gan;nuGanCiX;mw~inGi	ɢ
g	19173	K	U+0067	neNga;iNgy$e;nga;nenga;gem	g
k	54360	K	U+006B	ka;kere;ke;kyedi;meko	k
q	4570	K	U+0071	ngaq;qo;qa;qa;qa	q
"g"""	11	K	U+0067 U+0022	"rig""3;g""Et;g""Eg;no*h g""od;no*h g""Ed"	g’
"k"""	2020	K	U+006B U+0022	"nuck""e;nuck""e;hi3k"";huk"";huk"""	kʼ
"q"""	790	K	U+0071 U+0022	"q""ay;q""aCa;T""eLq""ey;q""iy"";q""ona"	qʼ
7g~	1	K	U+0037 U+0067 U+007E	yal7g~i	ˀg
Gw~	1	K	U+0047 U+0077 U+007E	Gw~on	ɢʷ
NG~	5	K	U+004E U+0047 U+007E	NG~3;NG~olon;NG~eL;5eNG~;sENG~	ⁿɢ
Ng~	1055	K	U+004E U+0067 U+007E	Ng~ai;neNg~a;naNg~u;aNg~E;neNg~a	ⁿg
Nk~	266	K	U+004E U+006B U+007E	aNk~3;oNk~ue;seNk~o7;kinaNk~;iNk~o	ⁿk
Nq~	6	K	U+004E U+0071 U+007E	Nq~oyo;Nq~oyo;pind~iNq~;qaNq~;Nq~alu	ⁿq
g7~	8	K	U+0067 U+0037 U+007E	nug7~be;r3n3g7~;bag7~uh;bag7~o;bag7~u	gˀ
gh~	134	K	U+0067 U+0068 U+007E	gh~i;iagh~o;gh~oi;agh~;gh~ehati	gʰ
gw~	550	K	U+0067 U+0077 U+007E	Ngw~e;gw~eni;yegw~;igw~a;nugw~a	gʷ
gx~	3	K	U+0067 U+0078 U+007E	gx~u;gx~up;gx~ip	gɣ
gy~	197	K	U+0067 U+0079 U+007E	gy~ewe;gy~e;biroegy~i;yigy~an;gy~al	gʲ
hk~	17	K	U+0068 U+006B U+007E	hk~e;nihk~a;nihk~aSie;ehk~ua;ehk~uak	ʰk
hq~	1	K	U+0068 U+0071 U+007E	"ahq~ab"""	ʰq
k7~	11	K	U+006B U+0037 U+007E	sak7~3n;nuc7~k7~e;k7~is;ik7~a;tik7~e7	kˀ
kN~	13	K	U+006B U+004E U+007E	wekN~;Z7~akN~;turakN~;pNl3kN~;nuNk~ulkN~	kˠ
kX~	5	K	U+006B U+0058 U+007E	kX~arnu;kX~atu;kX~ara;kX~a;kX~a	kˠ
kh~	2192	K	U+006B U+0068 U+007E	kh~i;kh~u;kh~oy;kh~oy;kawkh~a	kʰ
kj~	3	K	U+006B U+006A U+007E	kj~a*;kj~aw3j;kj~aw3j	kʲ
kp~	546	K	U+006B U+0070 U+007E	kp~ahop;kp~aho;kp~akp~ak;kp~akp~ak;kp~aN	kp
kw~	2014	K	U+006B U+0077 U+007E	kw~e;kw~a;kw~a;kw~a;nakw~	kʷ
kx~	26	K	U+006B U+0078 U+007E	gekx~3;kx~oN;kx~uri;akx~iyuk;kx~o	kˠ
ky~	480	K	U+006B U+0079 U+007E	ky~a;ky~o;ky~e;ky~7;ky~el8liNky~ip	kʲ
ng~	279	K	U+006E U+0067 U+007E	yang~;yang~ ya;ng~i;ng~ai;ng~a7a*	ⁿg
nk~	93	K	U+006E U+006B U+007E	"ink~o;ink~a;d""ank~o;kuranank~ke;nk~oth~"	ⁿk
q7~	3	K	U+0071 U+0037 U+007E	salh~aq7~tay;naq7~a;sq7~em	qˀ
qX~	47	K	U+0071 U+0058 U+007E	qX~iXe;qX~alu;qX~ali;qX~al;qX~al	qχ
qh~	117	K	U+0071 U+0068 U+007E	qh~uye7e;qh~adi;qh~e7uph~3le;raqh~;qh~o	qʰ
qw~	301	K	U+0071 U+0077 U+007E	qw~oy7e;qw~uy7~e;niqw~a;qw~unt;xX3qw~	qʷ
qy~	11	K	U+0071 U+0079 U+007E	qy~a;sqy~etyn;qy~oro;qy~a;qy~awe	qʲ
"Nk""~"	2	K	U+004E U+006B U+0022 U+007E	"muguNk""~ia;g3Nk""~u7"	ⁿk’
"k""w~"	185	K	U+006B U+0022 U+0077 U+007E	"k""w~En;niLk""w~;niLk""w~3wce7e;b3k""w~;m3k""w~"	kʼʷ
"k""y~"	41	K	U+006B U+0022 U+0079 U+007E	"k""y~eb"";k""y~eq Ckop;t""ak""y~;Cik""y~;Cik""y~"	k’ʲ
kwh~	1	K	U+006B U+0077 U+0068 U+007E	kwh~iripu	kʷʰ
"kx""~"	7	K	U+006B U+0078 U+0022 U+007E	"kx""~uni;kx""~uni;kx""~a*i*;kx""~a*i*;kx""~a"	k’ˠ
"ky""~"	1	K	U+006B U+0079 U+0022 U+007E	"ky""~o7o"	k’ʲ
"nk""~"	3	K	U+006E U+006B U+0022 U+007E	"sunk""~a;sink""~i;Xink""~il"	ⁿk’
"q""X~"	8	K	U+0071 U+0022 U+0058 U+007E	"q""X~unE;q""X~ano;q""X~ud;q""X~ub;q""X~od"	q’ˠ
"q""w~"	148	K	U+0071 U+0022 U+0077 U+007E	"q""w~ad;q""w~ed;q""w~Ed;q""w~ed;q""w~ac""aqakw~"	qʼʷ
"qw""~"	1	K	U+0071 U+0077 U+0022 U+007E	"ant""qw""~asg"	qʼʷ
L	3468	L	U+004C	aL;iLa3;LEo;newaL;nehwaL	ʎ
l	42483	L	U+006C	lim;lo;ali;male;yelo	l
"L"""	211	L	U+004C U+0022	"L""o;L""o;L""o;luL"";L""aqt"	ʎ’
"l"""	94	L	U+006C U+0022	"tl""aN;itl""a;l""agruw;n3assal""l"";n3assal""l"""	l’
L7~	7	L	U+004C U+0037 U+007E	3m3L7~o;orawetL7~an;naL7~;orawetL7~an;Ch~aL7~	ʎˀ
LX~	3	L	U+004C U+0058 U+007E	LX~e;LX~eyl3xy~;LX~el3xy~	ʎˠ
Lh~	1	L	U+004C U+0068 U+007E	teqeLh~o	ʎʰ
Lw~	2	L	U+004C U+0077 U+007E	Lw~a5elo;uLw~a	ʎʷ
Ly~	9	L	U+004C U+0079 U+007E	toLy~;peLy~;paLy~au;3m Ly~a;apkiLy~akmi	ʎʲ
hl~	17	L	U+0068 U+006C U+007E	"hl~un;hl~a;sk""ahl~aN;hl~a;hl~a"	ʰl
l7~	34	L	U+006C U+0037 U+007E	alval7~in;k3l7~ot;bulal7~;Xuyamtawil7~3n;mol7~	lˀ
lX~	18	L	U+006C U+0058 U+007E	malX~uk;malX~uk;XuyemtewilX~3n;XuyemtewilX~3n;gamlX~a	lˠ
lZ~	1	L	U+006C U+005A U+007E	lZ~3m	ɮ
lh~	49	L	U+006C U+0068 U+007E	lh~o;lh~i;lh~uy;alh~;lh~a	lʰ
"lw"""	0	L	U+006C U+0077 U+0022		l’ʷ
lw~	62	L	U+006C U+0077 U+007E	lw~E7;lw~at;calw~a;alw~ah;alw~a	lʷ
lx~	9	L	U+006C U+0078 U+007E	gbElx~a;lx~ok;ilx~a;alx~8aL;lx~a	lˠ
ly~	311	L	U+006C U+0079 U+007E	ily~a;ly~3;5uly~a;ely~e;ly~e	lʲ
nlh~	1	L	U+006E U+006C U+0068 U+007E	7inlh~i	ⁿlʰ
m	54416	M	U+006D	am;m;m;m;ma	m
"m"""	109	M	U+006D U+0022	"hisum""e;hinum""e;stam"";stem"";stem""i"	m’
hm~	16	M	U+0068 U+006D U+007E	ahm~a;hm~ari;hm~;hm~;hm~eke	ʰm
m7~	32	M	U+006D U+0037 U+007E	m7~o7;nam7~e;nam7~a;lEm7~o;nam7~i	mˀ
mX~	14	M	U+006D U+0058 U+007E	mX~aso;mX~a7o;mX~anE;mX~ali;s3mX~a	mˠ
mh~	57	M	U+006D U+0068 U+007E	mh~u*;mh~u;mh~3;mh~i;mh~3	mʰ
